"","begin_time","average_response_time","throughput"
"30535",1511067240,148.809875999315,146067.375887855
"30536",1511067300,154.007945229645,145225.697391879
"30537",1511067360,139.711397016007,138074.20334155
"30538",1511067420,210.915949618489,136424.507364836
"30539",1511067480,153.878604034815,131265.720832129
"30540",1511067540,174.57457426882,148078.988873539
"30541",1511067600,169.374335756026,148168.109312074
"30542",1511067660,120.863178190202,137633.254465668
"30543",1511067720,135.301223984446,134256.147100247
"30544",1511067780,117.770496015385,129554.370801369
"30545",1511067840,145.821096331976,140362.595530048
"30546",1511067900,151.27952421624,141445.504299572
"30547",1511067960,142.335099571086,133468.565821864
"30548",1511068020,119.924423564401,130700.43670235
"30549",1511068080,152.469302086312,136116.253769923
"30550",1511068140,194.789505350942,153576.853664605
"30551",1511068200,146.581408742846,148993.126689706
"30552",1511068260,215.129408900414,136982.817560085
"30553",1511068320,136.338416087984,144873.204506915
"30554",1511068380,133.995146554807,145387.260050623
"30555",1511068440,144.045740346758,160542.74887757
"30556",1511068500,229.47297372378,162958.020228435
"30557",1511068560,144.512096507847,153567.550184774
"30558",1511068620,143.359688882537,152116.75612473
"30559",1511068680,140.110686439257,142950.295765724
"30560",1511068740,139.50678219831,161293.425441848
"30561",1511068800,153.405048498703,160169.958131086
"30562",1511068860,149.24923713504,145328.537911159
"30563",1511068920,141.457684378301,144390.298665293
"30564",1511068980,144.372904499885,139454.954503477
"30565",1511069040,126.321347890709,144763.997257493
"30566",1511069100,146.735033648867,134907.818789815
"30567",1511069160,119.243768323888,134350.354683761
"30568",1511069220,125.05942794099,131922.042620572
"30569",1511069280,151.948777899988,133312.271344526
"30570",1511069340,141.924678833945,150756.236407375
"30571",1511069400,162.343034059353,148770.849572719
"30572",1511069460,143.24796703781,133754.915112411
"30573",1511069520,143.537223380209,135070.730706038
"30574",1511069580,159.475854875365,133949.061891112
"30575",1511069640,164.997895823767,147708.013362565
"30576",1511069700,164.586925696444,143750.402951268
"30577",1511069760,171.379881103772,134462.189611471
"30578",1511069820,139.425746141207,130479.377524126
"30579",1511069880,127.676703409606,125815.767258162
"30580",1511069940,146.180194933868,141035.131216385
"30581",1511070000,144.936911246174,143739.349439085
"30582",1511070060,177.120286087585,131554.241221026
"30583",1511070120,126.023995283233,129740.8523586
"30584",1511070180,145.057913858599,129597.382304594
"30585",1511070240,152.763076523346,145461.572256569
"30586",1511070300,170.291840934465,143803.768716486
"30587",1511070360,137.333900542382,132422.461426783
"30588",1511070420,140.317302119562,131161.30805762
"30589",1511070480,146.938521672564,131601.076525117
"30590",1511070540,153.816588959535,147569.90414418
"30591",1511070600,156.107687596673,140140.054831866
"30592",1511070660,148.420665866739,138003.826375567
"30593",1511070720,136.265705810002,130895.654689724
"30594",1511070780,150.005691743829,128753.310684707
"30595",1511070840,156.983125739801,140590.389538636
"30596",1511070900,135.706392699661,128982.908265104
"30597",1511070960,172.765006317346,127936.370729371
"30598",1511071020,141.151757382491,124503.142339547
"30599",1511071080,139.48106400076,120217.76748785
"30600",1511071140,184.23404369216,142687.359035084
"30601",1511071200,162.002836365828,144617.923701613
"30602",1511071260,142.807407539396,131861.254786954
"30603",1511071320,139.215710843111,131040.776842059
"30604",1511071380,134.572125249172,124641.820796026
"30605",1511071440,144.181949604487,141275.980634391
"30606",1511071500,153.531435388687,139117.046160965
"30607",1511071560,124.838688642944,134247.613322872
"30608",1511071620,163.911595057053,132972.892181452
"30609",1511071680,148.884751484493,132611.936371274
"30610",1511071740,155.274157876418,148022.535537152
"30611",1511071800,158.00214055153,141497.162171139
"30612",1511071860,161.169717201079,138944.216579221
"30613",1511071920,152.073214204128,132599.877362803
"30614",1511071980,134.957627148734,130289.172811983
"30615",1511072040,169.419549264897,150087.101925651
"30616",1511072100,155.023383647817,145816.400164032
"30617",1511072160,136.368641114402,137629.328424858
"30618",1511072220,134.326925908124,132859.521183832
"30619",1511072280,150.048430221324,134794.176184512
"30620",1511072340,158.866767158136,152230.641585562
"30621",1511072400,138.539975100861,149098.243983176
"30622",1511072460,166.015363419176,141034.984025968
"30623",1511072520,163.914657965336,136304.667493532
"30624",1511072580,148.486311393157,138759.626351964
"30625",1511072640,140.12221349212,156894.282120866
"30626",1511072700,157.913276908483,154637.77934275
"30627",1511072760,144.038111908912,154059.086533706
"30628",1511072820,149.310459442092,151445.920152119
"30629",1511072880,184.113947311221,149541.977769116
"30630",1511072940,146.005095485913,164530.144162247
"30631",1511073000,166.016871959941,163121.963209043
"30632",1511073060,175.383485186213,153239.586319759
"30633",1511073120,128.050568123413,147247.203556945
"30634",1511073180,151.302596859127,142231.52326857
"30635",1511073240,180.658241840628,153045.616421435
"30636",1511073300,134.833210570836,145231.262090342
"30637",1511073360,160.627391723331,133700.120449207
"30638",1511073420,136.458030299233,131056.47155538
"30639",1511073480,139.14165800487,126770.026617288
"30640",1511073540,180.302583666651,146113.254349396
"30641",1511073600,154.304418725074,145784.003779655
"30642",1511073660,154.091029992795,139479.517462399
